parts,s1,s2,s3,avg
Glass,32,35,82,49.666666666666664
Rebar,35,67,46,49.333333333333336
Stone,37,12,6,18.333333333333332
Cement,3,91,15,36.333333333333336
Wallpaper,9,70,5,28.0
Ceiling material,25,1,25,17.0
Drywall,96,18,18,44.0
Non-ferrous metal,31,85,23,46.333333333333336
Steel frame,10,53,29,30.666666666666668
Soil,77,29,30,45.333333333333336
Steel frame structure,28,54,47,43.0
Asphalt shingles,63,7,42,37.333333333333336
Concrete blocks,26,64,24,38.0
Fasteners,12,43,77,44.0
Metal mesh,34,73,22,43.0
Brick mortar,34,28,37,33.0
Door frame,99,2,3,34.666666666666664
Door frame,99,2,17,39.333333333333336
Door frame,99,17,3,39.666666666666664
Door frame,99,17,17,44.333333333333336
Concrete mixer,34,70,9,37.666666666666664
Ladder,57,8,79,48.0
Jackhammer,21,3,36,20.0
Ceiling grid,47,82,16,48.333333333333336
Scale,43,83,15,47.0
Scale,43,88,15,48.666666666666664
Brickwork,50,6,50,35.333333333333336
Blinds,12,94,25,43.666666666666664
Joint compound,5,30,23,19.333333333333332
Wire mesh,61,49,35,48.333333333333336
Radiator,24,53,34,37.0
Drywall screws,60,11,35,35.333333333333336
Hydraulic push,62,34,27,41.0
Wire cable,60,40,2,34.0
Block wall,88,14,2,34.666666666666664
Reinforced concrete block,22,2,14,12.666666666666666
Outlet box,41,4,7,17.333333333333332
Wooden ladder,35,33,76,48.0
Gypsum base,8,14,28,16.666666666666668
Building paper,18,24,59,33.666666666666664
Countertop,9,20,21,16.666666666666668
Projection base,23,19,91,44.333333333333336
Exterior brick,12,6,31,16.333333333333332
Door frame,86,2,3,30.333333333333332
Door frame,86,2,17,35.0
Door frame,86,17,3,35.333333333333336
Door frame,86,17,17,40.0
Building trim,3,35,39,25.666666666666668
Ceramic tile,8,59,64,43.666666666666664
Projection window,98,21,21,46.666666666666664
Hasp,27,27,12,22.0
Door stop,91,17,18,42.0
Brick wall,83,1,49,44.333333333333336
Air filter,29,57,45,43.666666666666664
Tile joint material,44,29,11,28.0
Stair runner,49,59,2,36.666666666666664
